raw_name,original_video,segmented_video,segment_number,start,end,start_frame,end_frame,sentiment,happy,sad,anger,surprise,disgust,fear
--qXJuDtHPw[0],--qXJuDtHPw,--qXJuDtHPw_0,0,23.199,30.325,695,909,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-3g5yACwYnA[0],-3g5yACwYnA,-3g5yACwYnA_0,0,82.753,100.555,2482,3016,1.0,0.6666667,0.6666667,0.0,0.0,0.0,0.6666667
-3g5yACwYnA[1],-3g5yACwYnA,-3g5yACwYnA_1,1,119.919,125.299,3597,3758,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0
-3g5yACwYnA[2],-3g5yACwYnA,-3g5yACwYnA_2,2,4.84,14.052,145,421,0.0,0.6666667,0.6666667,0.0,0.0,0.0,0.33333334
-3g5yACwYnA[3],-3g5yACwYnA,-3g5yACwYnA_3,3,13.211,27.521,396,825,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-3g5yACwYnA[4],-3g5yACwYnA,-3g5yACwYnA_4,4,26.541,41.3,796,1238,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-3g5yACwYnA[5],-3g5yACwYnA,-3g5yACwYnA_5,5,74.083,82.776,2222,2483,0.6666667,0.0,0.6666667,0.0,0.0,0.0,0.33333334
-3nNcZdcdvU[0],-3nNcZdcdvU,-3nNcZdcdvU_0,0,0.0,9.213,0,276,0.33333334,1.6666666,0.0,0.0,0.0,0.0,0.0
-3nNcZdcdvU[1],-3nNcZdcdvU,-3nNcZdcdvU_1,1,12.014,20.098,360,602,1.0,2.3333333,0.0,0.0,0.0,0.0,0.0
-3nNcZdcdvU[2],-3nNcZdcdvU,-3nNcZdcdvU_2,2,36.399,44.173,1091,1325,0.0,1.6666666,0.0,0.0,0.0,0.0,0.0
-571d8cVauQ[0],-571d8cVauQ,-571d8cVauQ_0,0,0.0,4.992,0,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-571d8cVauQ[1],-571d8cVauQ,-571d8cVauQ_1,1,21.842,28.309,655,849,-0.6666667,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-571d8cVauQ[2],-571d8cVauQ,-571d8cVauQ_2,2,69.893,85.0,2096,2549,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-6rXp3zJ3kc[0],-6rXp3zJ3kc,-6rXp3zJ3kc_0,0,14.468,22.882,434,686,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0
-6rXp3zJ3kc[1],-6rXp3zJ3kc,-6rXp3zJ3kc_1,1,45.428,58.151,1362,1744,-1.0,0.0,0.33333334,0.0,0.0,0.0,0.0
-6rXp3zJ3kc[2],-6rXp3zJ3kc,-6rXp3zJ3kc_2,2,58.109,71.96,1743,2158,0.33333334,0.0,0.33333334,0.0,0.0,0.0,0.0
-9YyBTjo1zo[0],-9YyBTjo1zo,-9YyBTjo1zo_0,0,-0.457596371882,1.77959183673,-14,53,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-9YyBTjo1zo[1],-9YyBTjo1zo,-9YyBTjo1zo_1,1,0.81950113379,5.96009070295,24,178,-1.0,0.0,0.0,0.33333334,0.0,0.0,0.0
-9YyBTjo1zo[2],-9YyBTjo1zo,-9YyBTjo1zo_2,2,5.97777777778,22.6721088435,179,680,2.0,2.6666667,0.0,0.0,0.33333334,0.0,0.0
-9YyBTjo1zo[3],-9YyBTjo1zo,-9YyBTjo1zo_3,3,32.8167800454,42.9959183673,984,1289,-0.33333334,0.33333334,0.0,0.33333334,0.0,0.6666667,0.0
-9YyBTjo1zo[4],-9YyBTjo1zo,-9YyBTjo1zo_4,4,42.853968254,47.7850340136,1285,1433,-1.6666666,1.0,0.0,0.0,0.33333334,1.0,0.0
-9y-fZ3swSY[0],-9y-fZ3swSY,-9y-fZ3swSY_0,0,0.0,6.748,0,202,1.0,1.3333334,0.0,0.0,0.0,0.0,0.0
-9y-fZ3swSY[1],-9y-fZ3swSY,-9y-fZ3swSY_1,1,5.988,12.096,179,362,1.3333334,1.0,0.0,0.0,0.0,0.0,0.0
-9y-fZ3swSY[2],-9y-fZ3swSY,-9y-fZ3swSY_2,2,11.475,15.898,344,476,0.33333334,1.3333334,0.0,0.0,0.33333334,0.0,0.0
-9y-fZ3swSY[3],-9y-fZ3swSY,-9y-fZ3swSY_3,3,16.055,22.832,481,684,1.3333334,1.0,0.0,0.33333334,1.0,0.0,0.0
-9y-fZ3swSY[4],-9y-fZ3swSY,-9y-fZ3swSY_4,4,23.179,25.825,695,774,0.0,0.33333334,0.6666667,0.0,0.0,0.0,0.0
-9y-fZ3swSY[5],-9y-fZ3swSY,-9y-fZ3swSY_5,5,37.077,43.026,1112,1290,-0.33333334,0.33333334,0.0,1.0,0.0,0.0,0.0
-9y-fZ3swSY[6],-9y-fZ3swSY,-9y-fZ3swSY_6,6,42.475,48.214,1274,1446,0.33333334,0.6666667,0.0,0.0,0.0,0.0,0.0
-9y-fZ3swSY[7],-9y-fZ3swSY,-9y-fZ3swSY_7,7,47.444,52.345,1423,1570,1.6666666,0.6666667,0.0,0.0,0.0,0.0,0.0
-AUZQgSxyPQ[0],-AUZQgSxyPQ,-AUZQgSxyPQ_0,0,13.122,35.513,393,1065,0.6666667,0.0,0.0,0.0,0.0,0.0,0.6666667
-Alixo7euuU[0],-Alixo7euuU,-Alixo7euuU_0,0,0.0124716553288,5.14081632653,0,154,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0
-Alixo7euuU[10],-Alixo7euuU,-Alixo7euuU_10,10,190.270068027,197.114512472,5708,5913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU[11],-Alixo7euuU,-Alixo7euuU_11,11,198.301814059,213.866439909,5949,6415,0.33333334,1.0,0.33333334,0.0,0.0,0.33333334,0.0
-Alixo7euuU[12],-Alixo7euuU,-Alixo7euuU_12,12,223.554421769,228.303628118,6706,6849,1.0,0.6666667,0.33333334,0.0,0.0,0.0,0.0
-Alixo7euuU[13],-Alixo7euuU,-Alixo7euuU_13,13,36.2600907029,41.7476190476,1087,1252,0.6666667,0.0,0.6666667,0.0,0.0,0.0,0.0
-Alixo7euuU[1],-Alixo7euuU,-Alixo7euuU_1,1,5.14081632653,12.4641723356,154,373,0.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU[2],-Alixo7euuU,-Alixo7euuU_2,2,79.1426303855,87.543537415,2374,2626,1.0,0.33333334,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU[3],-Alixo7euuU,-Alixo7euuU_3,3,115.739455782,119.810204082,3472,3594,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU[4],-Alixo7euuU,-Alixo7euuU_4,4,120.488662132,130.346258503,3614,3910,-0.33333334,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-Alixo7euuU[5],-Alixo7euuU,-Alixo7euuU_5,5,133.259637188,140.912244898,3997,4227,0.0,0.0,0.33333334,0.0,0.0,0.6666667,0.33333334
-Alixo7euuU[6],-Alixo7euuU,-Alixo7euuU_6,6,12.4641723356,21.2741496599,373,638,0.6666667,0.0,0.33333334,0.0,0.0,0.0,0.0
-Alixo7euuU[7],-Alixo7euuU,-Alixo7euuU_7,7,141.041950113,153.653287982,4231,4609,-0.33333334,0.0,0.33333334,0.0,0.0,0.33333334,0.33333334
-Alixo7euuU[8],-Alixo7euuU,-Alixo7euuU_8,8,167.312244898,182.238321995,5019,5467,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.33333334
-Alixo7euuU[9],-Alixo7euuU,-Alixo7euuU_9,9,184.982086168,189.950793651,5549,5698,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.6666667
-Eqdz5y4pEY[0],-Eqdz5y4pEY,-Eqdz5y4pEY_0,0,21.5734693878,28.3480725624,647,850,-0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-HeZS2-Prhc[0],-HeZS2-Prhc,-HeZS2-Prhc_0,0,7.764,16.905,232,507,1.3333334,1.6666666,0.0,0.0,0.0,0.0,0.0
-HeZS2-Prhc[1],-HeZS2-Prhc,-HeZS2-Prhc_1,1,15.905,24.049,477,721,0.6666667,1.3333334,0.0,0.0,0.0,0.0,0.0
-HeZS2-Prhc[2],-HeZS2-Prhc,-HeZS2-Prhc_2,2,34.224,44.083,1026,1322,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-HeZS2-Prhc[3],-HeZS2-Prhc,-HeZS2-Prhc_3,3,71.998,78.815,2159,2364,-0.6666667,0.6666667,0.0,0.33333334,0.0,0.6666667,0.0
-HvKLjmsO5U[0],-HvKLjmsO5U,-HvKLjmsO5U_0,0,11.9154195011,20.7653061224,357,622,1.3333334,0.33333334,0.0,0.0,0.0,0.0,0.33333334
-HvKLjmsO5U[1],-HvKLjmsO5U,-HvKLjmsO5U_1,1,21.2342403628,31.9399092971,637,958,1.0,1.0,0.0,0.0,0.0,0.0,0.0
